Plot,TreeID,Year,Height (m)
1,14,1997,12.1
1,15,1997,13.4
1,16,1997,12.1
1,17,1997,12.0
1,18,1997,11.9
1,19,1997,11.9
1,20,1997,13.1
1,21,1997,9.0
1,22,1997,11.5
1,23,1997,12.0
1,49,1997,12.3
1,50,1997,12.6
1,51,1997,12.4
1,52,1997,11.9
1,53,1997,10.6
1,54,1997,12.3
1,55,1997,12.5
1,56,1997,13.3
1,57,1997,12.3
1,58,1997,12.5
1,73,1997,9.8
1,74,1997,14.0
1,75,1997,11.0
1,76,1997,13.8
1,77,1997,9.7
2,15,1997,13.8
2,16,1997,10.8
2,17,1997,11.8
2,18,1997,12.5
2,19,1997,11.2
2,20,1997,11.5
2,21,1997,12.8
2,22,1997,12.1
2,23,1997,12.5
2,50,1997,13.3
2,51,1997,11.2
2,52,1997,12.9
2,53,1997,13.3
2,54,1997,13.3
2,55,1997,7.7
2,56,1997,12.1
2,57,1997,9.4
2,58,1997,12.5
2,59,1997,14.9
2,72,1997,13.7
2,73,1997,9.8
2,74,1997,13.2
2,75,1997,12.3
2,76,1997,13.0
2,77,1997,12.3
3,16,1997,12.1
3,17,1997,12.1
3,18,1997,12.7
3,19,1997,12.6
3,20,1997,13.1
3,21,1997,12.7
3,22,1997,12.9
3,23,1997,11.0
3,24,1997,12.5
3,25,1997,12.7
3,55,1997,13.7
3,56,1997,11.1
3,57,1997,12.5
3,58,1997,13.5
3,59,1997,13.2
3,60,1997,13.1
3,61,1997,12.3
3,62,1997,13.0
3,63,1997,12.8
3,64,1997,11.4
3,65,1997,12.5
3,67,1997,12.5
3,82,1997,14.1
3,83,1997,11.9
3,84,1997,12.7
4,16,1997,11.9
4,17,1997,11.8
4,18,1997,12.9
4,19,1997,13.3
4,20,1997,12.9
4,21,1997,11.4
4,22,1997,14.0
4,51,1997,14.1
4,52,1997,13.7
4,53,1997,11.7
4,54,1997,13.8
4,55,1997,11.5
4,56,1997,11.5
4,57,1997,13.3
4,58,1997,13.9
4,59,1997,13.6
4,60,1997,13.3
4,61,1997,11.4
4,75,1997,12.5
4,76,1997,13.2
4,77,1997,11.5
4,78,1997,10.9
4,79,1997,11.6
4,80,1997,12.8
4,81,1997,11.8
5,21,1997,14.7
5,22,1997,13.5
5,23,1997,13.5
5,24,1997,13.2
5,25,1997,12.8
5,26,1997,12.5
5,27,1997,13.3
5,28,1997,13.7
5,29,1997,14.2
5,30,1997,13.4
5,62,1997,14.0
5,63,1997,12.0
5,64,1997,12.8
5,65,1997,9.8
5,66,1997,13.7
5,67,1997,12.7
5,68,1997,12.7
5,69,1997,12.2
5,70,1997,13.2
5,88,1997,12.3
5,89,1997,10.9
5,90,1997,11.6
5,91,1997,12.8
5,92,1997,11.3
5,93,1997,13.1
1,14,1998,12.8
1,15,1998,14.4
1,16,1998,14.0
1,17,1998,13.2
1,18,1998,14.3
1,19,1998,14.8
1,20,1998,15.5
1,21,1998,8.9
1,22,1998,13.1
1,23,1998,14.1
1,49,1998,14.3
1,50,1998,13.9
1,51,1998,14.4
1,52,1998,13.6
1,53,1998,10.9
1,54,1998,13.7
1,55,1998,14.2
1,56,1998,15.9
1,57,1998,13.2
1,58,1998,14.1
1,73,1998,11.0
1,74,1998,16.0
1,75,1998,12.8
1,76,1998,16.1
1,77,1998,11.5
2,15,1998,16.2
2,16,1998,13.7
2,17,1998,14.0
2,18,1998,14.8
2,19,1998,12.2
2,20,1998,14.0
2,21,1998,14.6
2,22,1998,13.0
2,23,1998,13.7
2,50,1998,15.6
2,51,1998,10.4
2,52,1998,14.9
2,53,1998,15.0
2,54,1998,16.0
2,55,1998,8.2
2,56,1998,13.0
2,57,1998,10.4
2,58,1998,15.1
2,59,1998,14.7
2,72,1998,16.0
2,73,1998,11.2
2,74,1998,16.2
2,75,1998,14.1
2,76,1998,15.0
2,77,1998,14.3
3,16,1998,13.9
3,17,1998,13.8
3,18,1998,14.6
3,19,1998,14.6
3,20,1998,14.8
3,21,1998,15.3
3,22,1998,14.8
3,23,1998,13.1
3,24,1998,14.5
3,25,1998,14.2
3,55,1998,15.5
3,56,1998,12.4
3,57,1998,14.1
3,58,1998,14.2
3,59,1998,14.3
3,60,1998,14.3
3,61,1998,15.4
3,62,1998,14.9
3,63,1998,14.1
3,64,1998,12.2
3,65,1998,13.1
3,67,1998,13.4
3,82,1998,15.5
3,83,1998,12.2
3,84,1998,13.8
4,16,1998,12.2
4,17,1998,12.8
4,18,1998,14.5
4,19,1998,15.3
4,20,1998,15.0
4,21,1998,10.8
4,22,1998,14.2
4,51,1998,16.5
4,52,1998,14.6
4,53,1998,13.0
4,54,1998,16.4
4,55,1998,12.0
4,56,1998,12.9
4,57,1998,14.8
4,58,1998,15.6
4,59,1998,15.1
4,60,1998,13.5
4,61,1998,11.5
4,75,1998,13.9
4,76,1998,15.3
4,77,1998,13.5
4,78,1998,12.7
4,79,1998,12.2
4,80,1998,14.5
4,81,1998,12.7
5,21,1998,15.6
5,22,1998,14.9
5,23,1998,16.2
5,24,1998,15.3
5,25,1998,14.5
5,26,1998,12.5
5,27,1998,14.0
5,28,1998,14.5
5,29,1998,16.3
5,30,1998,15.2
5,62,1998,15.5
5,63,1998,13.8
5,64,1998,14.6
5,65,1998,10.0
5,66,1998,15.8
5,67,1998,13.6
5,68,1998,13.3
5,69,1998,14.0
5,70,1998,16.1
5,88,1998,14.6
5,89,1998,11.5
5,90,1998,14.8
5,91,1998,14.7
5,92,1998,12.9
5,93,1998,15.0
1,14,1999,13.4
1,15,1999,15.2
1,16,1999,15.0
1,17,1999,13.9
1,18,1999,15.1
1,19,1999,16.0
1,20,1999,15.8
1,21,1999,8.5
1,22,1999,15.6
1,23,1999,14.1
1,49,1999,16.1
1,50,1999,13.1
1,51,1999,15.3
1,52,1999,15.1
1,53,1999,11.0
1,54,1999,14.0
1,55,1999,15.4
1,56,1999,15.7
1,57,1999,12.5
1,58,1999,14.0
1,73,1999,11.0
1,74,1999,16.0
1,75,1999,13.1
1,76,1999,16.8
1,77,1999,10.8
2,15,1999,15.8
2,16,1999,13.6
2,17,1999,14.9
2,18,1999,15.5
2,19,1999,D
2,20,1999,15.2
2,21,1999,16.6
2,22,1999,14.7
2,23,1999,15.6
2,50,1999,16.0
2,51,1999,10.9
2,52,1999,16.3
2,53,1999,15.7
2,54,1999,15.0
2,55,1999,8.2
2,56,1999,13.6
2,57,1999,10.0
2,58,1999,15.7
2,59,1999,15.4
2,72,1999,16.7
2,73,1999,10.8
2,74,1999,18.4
2,75,1999,15.0
2,76,1999,17.9
2,77,1999,14.4
3,16,1999,13.6
3,17,1999,14.3
3,18,1999,13.8
3,19,1999,15.0
3,20,1999,15.1
3,21,1999,15.1
3,22,1999,14.4
3,23,1999,12.9
3,24,1999,14.3
3,25,1999,15.1
3,55,1999,15.9
3,56,1999,12.9
3,57,1999,14.2
3,58,1999,14.7
3,59,1999,14.9
3,60,1999,14.6
3,61,1999,13.9
3,62,1999,15.5
3,63,1999,14.6
3,64,1999,11.9
3,65,1999,13.4
3,67,1999,14.7
3,82,1999,15.8
3,83,1999,12.7
3,84,1999,14.1
4,16,1999,12.7
4,17,1999,15.6
4,18,1999,14.6
4,19,1999,17.8
4,20,1999,16.0
4,21,1999,14.1
4,22,1999,15.6
4,51,1999,17.2
4,52,1999,14.7
4,53,1999,12.8
4,54,1999,17.6
4,55,1999,D
4,56,1999,12.6
4,57,1999,15.8
4,58,1999,17.6
4,59,1999,16.5
4,60,1999,15.2
4,61,1999,12.3
4,75,1999,14.4
