,Time,VarName,VarValue,VarUnits,Site
0,0024-12-31,FATES_FROOTC,32.871849060058594,kg m-2,US-ORN
1,0024-12-31,Calc_N_Demand,6.574369812011719e-05,kg m-2 s-1,US-ORN
2,0024-12-31,FATES_NDEMAND,6.575268344022334e-05,kg m-2 s-1,US-ORN
3,0024-12-31,FATES_NH4UPTAKE,6.575268344022334e-05,kg m-2 s-1,US-ORN
4,0024-12-31,FATES_NO3UPTAKE,5.037600545043652e-12,kg m-2 s-1,US-ORN
5,0024-12-31,FATES_NEFFLUX,6.560085603268817e-05,kg m-2 s-1,US-ORN
6,0024-12-31,SUPPLEMENT_TO_SMINN,0.06558824330568314,gN/m^2/s,US-ORN
7,0024-12-31,SMINN,1.4547197818756104,gN/m^2,US-ORN
8,0024-12-31,SMINN_TO_PLANT,0.0657440721988678,gN/m^2/s,US-ORN
9,0024-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
10,0024-12-31,FATES_STOREN,17.888885498046875,kg m-2,US-ORN
11,0024-12-31,FATES_VEGN,21.545337677001953,kg m-2,US-ORN
12,0024-12-31,FATES_FROOTN,0.7889391779899597,kg m-2,US-ORN
13,0024-12-31,FATES_STOREN_TF,729.9949951171875,1,US-ORN
14,0024-12-31,ACTUAL_IMMOB,0.00024823169223964214,gN/m^2/s,US-ORN
15,0024-12-31,POTENTIAL_IMMOB,0.00024823169223964214,gN/m^2/s,US-ORN
16,0026-12-31,FATES_FROOTC,33.361995697021484,kg m-2,US-ORN
17,0026-12-31,Calc_N_Demand,6.672399139404297e-05,kg m-2 s-1,US-ORN
18,0026-12-31,FATES_NDEMAND,6.672248855466023e-05,kg m-2 s-1,US-ORN
19,0026-12-31,FATES_NH4UPTAKE,6.672248127870262e-05,kg m-2 s-1,US-ORN
20,0026-12-31,FATES_NO3UPTAKE,2.3359838369207964e-12,kg m-2 s-1,US-ORN
21,0026-12-31,FATES_NEFFLUX,6.657805352006108e-05,kg m-2 s-1,US-ORN
22,0026-12-31,SUPPLEMENT_TO_SMINN,0.06661123037338257,gN/m^2/s,US-ORN
23,0026-12-31,SMINN,1.076988697052002,gN/m^2,US-ORN
24,0026-12-31,SMINN_TO_PLANT,0.06672392785549164,gN/m^2/s,US-ORN
25,0026-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
26,0026-12-31,FATES_STOREN,17.889163970947266,kg m-2,US-ORN
27,0026-12-31,FATES_VEGN,21.68937873840332,kg m-2,US-ORN
28,0026-12-31,FATES_FROOTN,0.8007020950317383,kg m-2,US-ORN
29,0026-12-31,FATES_STOREN_TF,729.9947509765625,1,US-ORN
30,0026-12-31,ACTUAL_IMMOB,0.00018647071556188166,gN/m^2/s,US-ORN
31,0026-12-31,POTENTIAL_IMMOB,0.00018647071556188166,gN/m^2/s,US-ORN
32,0096-12-31,FATES_FROOTC,31.070690155029297,kg m-2,US-ORN
33,0096-12-31,Calc_N_Demand,6.214138031005859e-05,kg m-2 s-1,US-ORN
34,0096-12-31,FATES_NDEMAND,6.213535380084068e-05,kg m-2 s-1,US-ORN
35,0096-12-31,FATES_NH4UPTAKE,1.5944166875669907e-07,kg m-2 s-1,US-ORN
36,0096-12-31,FATES_NO3UPTAKE,6.291744469172356e-13,kg m-2 s-1,US-ORN
37,0096-12-31,FATES_NEFFLUX,1.516715286697945e-08,kg m-2 s-1,US-ORN
38,0096-12-31,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-ORN
39,0096-12-31,SMINN,1.1662163734436035,gN/m^2,US-ORN
40,0096-12-31,SMINN_TO_PLANT,0.0001594619534444064,gN/m^2/s,US-ORN
41,0096-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
42,0096-12-31,FATES_STOREN,13.038844108581543,kg m-2,US-ORN
43,0096-12-31,FATES_VEGN,58.954132080078125,kg m-2,US-ORN
44,0096-12-31,FATES_FROOTN,0.7456891536712646,kg m-2,US-ORN
45,0096-12-31,FATES_STOREN_TF,532.90234375,1,US-ORN
46,0096-12-31,ACTUAL_IMMOB,0.00016448102542199194,gN/m^2/s,US-ORN
47,0096-12-31,POTENTIAL_IMMOB,0.05164032429456711,gN/m^2/s,US-ORN
48,0024-12-31,FATES_FROOTC,32.871849060058594,kg m-2,US-ORN
49,0024-12-31,Calc_N_Demand,6.574369812011719e-05,kg m-2 s-1,US-ORN
50,0024-12-31,FATES_NDEMAND,6.575268344022334e-05,kg m-2 s-1,US-ORN
51,0024-12-31,FATES_NH4UPTAKE,6.575268344022334e-05,kg m-2 s-1,US-ORN
52,0024-12-31,FATES_NO3UPTAKE,5.037600545043652e-12,kg m-2 s-1,US-ORN
53,0024-12-31,FATES_NEFFLUX,6.560085603268817e-05,kg m-2 s-1,US-ORN
54,0024-12-31,SUPPLEMENT_TO_SMINN,0.06558824330568314,gN/m^2/s,US-ORN
55,0024-12-31,SMINN,1.4547197818756104,gN/m^2,US-ORN
56,0024-12-31,SMINN_TO_PLANT,0.0657440721988678,gN/m^2/s,US-ORN
57,0024-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
58,0024-12-31,FATES_STOREN,17.888885498046875,kg m-2,US-ORN
59,0024-12-31,FATES_VEGN,21.545337677001953,kg m-2,US-ORN
60,0024-12-31,FATES_FROOTN,0.7889391779899597,kg m-2,US-ORN
61,0024-12-31,FATES_STOREN_TF,729.9949951171875,1,US-ORN
62,0024-12-31,ACTUAL_IMMOB,0.00024823169223964214,gN/m^2/s,US-ORN
63,0024-12-31,POTENTIAL_IMMOB,0.00024823169223964214,gN/m^2/s,US-ORN
64,0026-12-31,FATES_FROOTC,33.361995697021484,kg m-2,US-ORN
65,0026-12-31,Calc_N_Demand,6.672399139404297e-05,kg m-2 s-1,US-ORN
66,0026-12-31,FATES_NDEMAND,6.672248855466023e-05,kg m-2 s-1,US-ORN
67,0026-12-31,FATES_NH4UPTAKE,6.672248127870262e-05,kg m-2 s-1,US-ORN
68,0026-12-31,FATES_NO3UPTAKE,2.3359838369207964e-12,kg m-2 s-1,US-ORN
69,0026-12-31,FATES_NEFFLUX,6.657805352006108e-05,kg m-2 s-1,US-ORN
70,0026-12-31,SUPPLEMENT_TO_SMINN,0.06661123037338257,gN/m^2/s,US-ORN
71,0026-12-31,SMINN,1.076988697052002,gN/m^2,US-ORN
72,0026-12-31,SMINN_TO_PLANT,0.06672392785549164,gN/m^2/s,US-ORN
73,0026-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
74,0026-12-31,FATES_STOREN,17.889163970947266,kg m-2,US-ORN
75,0026-12-31,FATES_VEGN,21.68937873840332,kg m-2,US-ORN
