,Time,VarName,VarValue,VarUnits,Site
0,0024-06-30,FATES_FROOTC,0.091804139316082,kg m-2,US-ORN
1,0024-06-30,Calc_N_Demand,1.83608278632164e-07,kg m-2 s-1,US-ORN
2,0024-06-30,FATES_NDEMAND,1.8348681862789817e-07,kg m-2 s-1,US-ORN
3,0024-06-30,FATES_NH4UPTAKE,1.8348679020618874e-07,kg m-2 s-1,US-ORN
4,0024-06-30,FATES_NO3UPTAKE,3.280366836456647e-14,kg m-2 s-1,US-ORN
5,0024-06-30,NFIX_TO_SMINN,1.6079996223439252e-09,gN/m^2/s,US-ORN
6,0024-06-30,FATES_NEFFLUX,1.830643014955058e-07,kg m-2 s-1,US-ORN
7,0024-06-30,SUPPLEMENT_TO_SMINN,0.00018299510702490807,gN/m^2/s,US-ORN
8,0024-06-30,SMINN,0.005733767990022898,gN/m^2,US-ORN
9,0024-06-30,SMINN_TO_PLANT,0.00018360323156230152,gN/m^2/s,US-ORN
10,0024-06-30,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
11,0024-06-30,SMIN_NO3_LEACHED,1.807507428947593e-16,gN/m^2/s,US-ORN
12,0024-06-30,SMIN_NO3_RUNOFF,0.0,gN/m^2/s,US-ORN
13,0024-06-30,FATES_STOREN,0.049047891050577164,kg m-2,US-ORN
14,0024-06-30,FATES_VEGN,0.0615820437669754,kg m-2,US-ORN
15,0024-06-30,FATES_FROOTN,0.00220329943113029,kg m-2,US-ORN
16,0024-06-30,FATES_STOREN_TF,2.0,1,US-ORN
17,0024-06-30,ACTUAL_IMMOB,9.850612059381092e-07,gN/m^2/s,US-ORN
18,0024-06-30,POTENTIAL_IMMOB,9.850612059381092e-07,gN/m^2/s,US-ORN
19,0026-06-30,FATES_FROOTC,0.002394492505118251,kg m-2,US-ORN
20,0026-06-30,Calc_N_Demand,4.788985010236502e-09,kg m-2 s-1,US-ORN
21,0026-06-30,FATES_NDEMAND,4.724354685237131e-09,kg m-2 s-1,US-ORN
22,0026-06-30,FATES_NH4UPTAKE,5.800640523467848e-10,kg m-2 s-1,US-ORN
23,0026-06-30,FATES_NO3UPTAKE,1.4469946508360865e-13,kg m-2 s-1,US-ORN
24,0026-06-30,NFIX_TO_SMINN,1.4132544023937044e-09,gN/m^2/s,US-ORN
25,0026-06-30,FATES_NEFFLUX,0.0,kg m-2 s-1,US-ORN
26,0026-06-30,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-ORN
