,Time,VarName,VarValue,VarUnits,Site
0,0024-12-31,FATES_FROOTC,32.871849060058594,kg m-2,US-ORN
1,0024-12-31,Calc_N_Demand,6.574369812011719e-05,kg m-2 s-1,US-ORN
2,0024-12-31,FATES_NDEMAND,6.575268344022334e-05,kg m-2 s-1,US-ORN
3,0024-12-31,FATES_NH4UPTAKE,6.575268344022334e-05,kg m-2 s-1,US-ORN
4,0024-12-31,FATES_NO3UPTAKE,5.037600545043652e-12,kg m-2 s-1,US-ORN
5,0024-12-31,FATES_NEFFLUX,6.560085603268817e-05,kg m-2 s-1,US-ORN
6,0024-12-31,SUPPLEMENT_TO_SMINN,0.06558824330568314,gN/m^2/s,US-ORN
7,0024-12-31,SMINN,1.4547197818756104,gN/m^2,US-ORN
8,0024-12-31,SMINN_TO_PLANT,0.0657440721988678,gN/m^2/s,US-ORN
9,0024-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
10,0024-12-31,FATES_STOREN,17.888885498046875,kg m-2,US-ORN
11,0024-12-31,FATES_VEGN,21.545337677001953,kg m-2,US-ORN
12,0024-12-31,FATES_FROOTN,0.7889391779899597,kg m-2,US-ORN
13,0024-12-31,FATES_STOREN_TF,729.9949951171875,1,US-ORN
14,0024-12-31,ACTUAL_IMMOB,0.00024823169223964214,gN/m^2/s,US-ORN
15,0024-12-31,POTENTIAL_IMMOB,0.00024823169223964214,gN/m^2/s,US-ORN
16,0126-12-31,FATES_FROOTC,300.4927978515625,kg m-2,US-ORN
17,0126-12-31,Calc_N_Demand,0.000600985595703125,kg m-2 s-1,US-ORN
18,0126-12-31,FATES_NDEMAND,0.0006010709330439568,kg m-2 s-1,US-ORN
19,0126-12-31,FATES_NH4UPTAKE,1.284486828012632e-08,kg m-2 s-1,US-ORN
20,0126-12-31,FATES_NO3UPTAKE,8.762183144848945e-16,kg m-2 s-1,US-ORN
21,0126-12-31,FATES_NEFFLUX,1.369982712352277e-30,kg m-2 s-1,US-ORN
22,0126-12-31,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-ORN
23,0126-12-31,SMINN,0.07711932063102722,gN/m^2,US-ORN
24,0126-12-31,SMINN_TO_PLANT,1.2844137017964385e-05,gN/m^2/s,US-ORN
25,0126-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
26,0126-12-31,FATES_STOREN,0.00026205595349892974,kg m-2,US-ORN
27,0126-12-31,FATES_VEGN,30.75717544555664,kg m-2,US-ORN
28,0126-12-31,FATES_FROOTN,0.20785534381866455,kg m-2,US-ORN
29,0126-12-31,FATES_STOREN_TF,0.029480010271072388,1,US-ORN
30,0126-12-31,ACTUAL_IMMOB,8.577696462452877e-06,gN/m^2/s,US-ORN
31,0126-12-31,POTENTIAL_IMMOB,0.3800366520881653,gN/m^2/s,US-ORN
32,0226-12-31,FATES_FROOTC,4.90407657623291,kg m-2,US-ORN
33,0226-12-31,Calc_N_Demand,9.80815315246582e-06,kg m-2 s-1,US-ORN
34,0226-12-31,FATES_NDEMAND,9.807876267586835e-06,kg m-2 s-1,US-ORN
35,0226-12-31,FATES_NH4UPTAKE,2.6876503245176764e-09,kg m-2 s-1,US-ORN
36,0226-12-31,FATES_NO3UPTAKE,1.896676387250066e-15,kg m-2 s-1,US-ORN
37,0226-12-31,FATES_NEFFLUX,5.288350595107627e-14,kg m-2 s-1,US-ORN
38,0226-12-31,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-ORN
39,0226-12-31,SMINN,0.34153425693511963,gN/m^2,US-ORN
40,0226-12-31,SMINN_TO_PLANT,2.6882589736487716e-06,gN/m^2/s,US-ORN
41,0226-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-ORN
42,0226-12-31,FATES_STOREN,0.0059283580631017685,kg m-2,US-ORN
43,0226-12-31,FATES_VEGN,0.17226581275463104,kg m-2,US-ORN
44,0226-12-31,FATES_FROOTN,0.0163859985768795,kg m-2,US-ORN
45,0226-12-31,FATES_STOREN_TF,12.697538375854492,1,US-ORN
46,0226-12-31,ACTUAL_IMMOB,9.218783088726923e-05,gN/m^2/s,US-ORN
47,0226-12-31,POTENTIAL_IMMOB,0.4137531816959381,gN/m^2/s,US-ORN
48,0024-12-31,FATES_FROOTC,30.0424747467041,kg m-2,US-DUK
49,0024-12-31,Calc_N_Demand,6.00849494934082e-05,kg m-2 s-1,US-DUK
50,0024-12-31,FATES_NDEMAND,6.0084952565375715e-05,kg m-2 s-1,US-DUK
51,0024-12-31,FATES_NH4UPTAKE,6.00849452894181e-05,kg m-2 s-1,US-DUK
52,0024-12-31,FATES_NO3UPTAKE,3.5861001668191506e-12,kg m-2 s-1,US-DUK
53,0024-12-31,FATES_NEFFLUX,5.9959726058878005e-05,kg m-2 s-1,US-DUK
54,0024-12-31,SUPPLEMENT_TO_SMINN,0.0600041039288044,gN/m^2/s,US-DUK
55,0024-12-31,SMINN,1.234276533126831,gN/m^2,US-DUK
56,0024-12-31,SMINN_TO_PLANT,0.06008494645357132,gN/m^2/s,US-DUK
57,0024-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-DUK
58,0024-12-31,FATES_STOREN,10.454987525939941,kg m-2,US-DUK
59,0024-12-31,FATES_VEGN,20.29801368713379,kg m-2,US-DUK
60,0024-12-31,FATES_FROOTN,0.7210193872451782,kg m-2,US-DUK
61,0024-12-31,FATES_STOREN_TF,729.9998779296875,1,US-DUK
62,0024-12-31,ACTUAL_IMMOB,0.0002620033919811249,gN/m^2/s,US-DUK
63,0024-12-31,POTENTIAL_IMMOB,0.0002620033919811249,gN/m^2/s,US-DUK
64,0126-12-31,FATES_FROOTC,578.5357666015625,kg m-2,US-DUK
65,0126-12-31,Calc_N_Demand,0.0011570715332031248,kg m-2 s-1,US-DUK
66,0126-12-31,FATES_NDEMAND,0.001157376216724515,kg m-2 s-1,US-DUK
67,0126-12-31,FATES_NH4UPTAKE,1.2341992317033146e-08,kg m-2 s-1,US-DUK
68,0126-12-31,FATES_NO3UPTAKE,4.988112440118347e-16,kg m-2 s-1,US-DUK
69,0126-12-31,FATES_NEFFLUX,7.221782140039496e-31,kg m-2 s-1,US-DUK
70,0126-12-31,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-DUK
71,0126-12-31,SMINN,0.05535106360912323,gN/m^2,US-DUK
72,0126-12-31,SMINN_TO_PLANT,1.2341079127509147e-05,gN/m^2/s,US-DUK
73,0126-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-DUK
74,0126-12-31,FATES_STOREN,9.880572906695306e-05,kg m-2,US-DUK
