rownames,YEAR,co2,site,NPP,NUP,,,
1,1998,AMB,ORNL,24.96886951,0.594035165,",","24.97,","0.59,"
2,1999,AMB,ORNL,67.39518611,1.538964298,",","67.4,","1.54,"
3,2000,AMB,ORNL,44.1600624,1.482355483,",","44.16,","1.48,"
4,2001,AMB,ORNL,80.13322241,1.176156641,",","80.13,","1.18,"
5,2002,AMB,ORNL,35.13940491,0.230964163,",","35.14,","0.23,"
6,2003,AMB,ORNL,54.00308633,0.144952099,",","54,","0.14,"
7,2004,AMB,ORNL,26.85971788,0.301901382,",","26.86,","0.3,"
8,2005,AMB,ORNL,67.83886136,0.122202019,",","67.84,","0.12,"
9,2006,AMB,ORNL,27.43072082,0.209311039,",","27.43,","0.21,"
10,2007,AMB,ORNL,16.75642497,0.631567714,",","16.76,","0.63,"
11,2008,AMB,ORNL,39.34463115,0.282626569,,39.34,0.28
