rownames,YEAR,co2,site,NPP,NUP,,,
1,1998,AMB,ORNL,829.3333333,6.856666667,",","829.33,","6.86,"
2,1999,AMB,ORNL,870.3333333,7.536666667,",","870.33,","7.54,"
3,2000,AMB,ORNL,999.6666667,7.916666667,",","999.67,","7.92,"
4,2001,AMB,ORNL,1031,7.306666667,",","1031,","7.31,"
5,2002,AMB,ORNL,913.6666667,8.116666667,",","913.67,","8.12,"
6,2003,AMB,ORNL,994,8.096666667,",","994,","8.1,"
7,2004,AMB,ORNL,827.6666667,5.836666667,",","827.67,","5.84,"
8,2005,AMB,ORNL,752.6666667,6.45,",","752.67,","6.45,"
9,2006,AMB,ORNL,629.6666667,5.483333333,",","629.67,","5.48,"
10,2007,AMB,ORNL,643.3333333,5.246666667,",","643.33,","5.25,"
11,2008,AMB,ORNL,527,3.486666667,,527,3.49
