rownames,YEAR,co2,site,NPP,NUP,,,
135,1996,ELE,DUKE,121.9590419,1.287258068,",","121.96,","1.29,"
145,1997,ELE,DUKE,120.8619486,0.978678247,",","120.86,","0.98,"
155,1998,ELE,DUKE,75.38606377,0.759831853,",","75.39,","0.76,"
165,1999,ELE,DUKE,36.76673317,0.255429921,",","36.77,","0.26,"
175,2000,ELE,DUKE,62.76968309,1.121710004,",","62.77,","1.12,"
185,2001,ELE,DUKE,86.41569204,0.856141214,",","86.42,","0.86,"
195,2002,ELE,DUKE,152.6153016,1.209095162,",","152.62,","1.21,"
205,2003,ELE,DUKE,87.8844929,0.519144596,",","87.88,","0.52,"
219,2004,ELE,DUKE,126.5399053,1.117720895,",","126.54,","1.12,"
225,2005,ELE,DUKE,184.6812387,1.334582748,",","184.68,","1.33,"
23,2006,ELE,DUKE,180.7368329,,",","180.74,","0,"
24,2007,ELE,DUKE,182.8625081,, ,182.86 ,0 
