rownames,YEAR,co2,site,NPP,NUP,,,
135,1996,ELE,DUKE,1087.418951,8.85,",","1087.42,","8.85,"
145,1997,ELE,DUKE,1318.13654,10.62333333,",","1318.14,","10.62,"
155,1998,ELE,DUKE,1193.488348,9.153333333,",","1193.49,","9.15,"
165,1999,ELE,DUKE,1447.362363,10.74666667,",","1447.36,","10.75,"
175,2000,ELE,DUKE,1540.805952,11.12,",","1540.81,","11.12,"
185,2001,ELE,DUKE,1298.723264,9.623333333,",","1298.72,","9.62,"
195,2002,ELE,DUKE,929.5679282,6.796666667,",","929.57,","6.8,"
205,2003,ELE,DUKE,1280.37122,10.85666667,",","1280.37,","10.86,"
219,2004,ELE,DUKE,1386.611473,12.93,",","1386.61,","12.93,"
225,2005,ELE,DUKE,1235.124054,10.57666667,",","1235.12,","10.58,"
23,2006,ELE,DUKE,1485.109815,,",","1485.11,","0,"
24,2007,ELE,DUKE,1131.846325,, ,1131.85 ,0 
