rownames,YEAR,co2,site,NPP,NUP,,,
12,1998,ELE,ORNL,4.5,0.265,",","4.5,","0.27,"
13,1999,ELE,ORNL,23.5,0.335,",","23.5,","0.33,"
14,2000,ELE,ORNL,32,0.795,",","32,","0.8,"
15,2001,ELE,ORNL,206,2.89,",","206,","2.89,"
16,2002,ELE,ORNL,93.5,0.92,",","93.5,","0.92,"
17,2003,ELE,ORNL,33,0.14,",","33,","0.14,"
18,2004,ELE,ORNL,32.5,0.615,",","32.5,","0.61,"
19,2005,ELE,ORNL,9,0.19,",","9,","0.19,"
20,2006,ELE,ORNL,31.5,0.75,",","31.5,","0.75,"
21,2007,ELE,ORNL,47.5,0.21,",","47.5,","0.21,"
22,2008,ELE,ORNL,4,0.27, ,4 ,0.27 
