rownames,YEAR,co2,site,NPP,NUP,,,
12,1998,ELE,ORNL,1034.5,7.53,",","1034.5,","7.53,"
13,1999,ELE,ORNL,998.5,7.51,",","998.5,","7.51,"
14,2000,ELE,ORNL,1201,10.17,",","1201,","10.17,"
15,2001,ELE,ORNL,1287,10.13,",","1287,","10.13,"
16,2002,ELE,ORNL,1210.5,10.28,",","1210.5,","10.28,"
17,2003,ELE,ORNL,1122,7.71,",","1122,","7.71,"
18,2004,ELE,ORNL,986.5,7.40,",","986.5,","7.4,"
19,2005,ELE,ORNL,878,8.09,",","878,","8.09,"
20,2006,ELE,ORNL,699.5,6.03,",","699.5,","6.03,"
21,2007,ELE,ORNL,698.5,5.02,",","698.5,","5.02,"
22,2008,ELE,ORNL,587,3.77,,587,3.77
