rownames,YEAR,co2,site,NPP,NUP
1,1998.0,AMB,ORNL,829.3333333333334,6.8566666666666665
2,1999.0,AMB,ORNL,870.3333333333334,7.536666666666666
3,2000.0,AMB,ORNL,999.6666666666666,7.916666666666667
4,2001.0,AMB,ORNL,1031.0,7.306666666666667
5,2002.0,AMB,ORNL,913.6666666666666,8.116666666666667
6,2003.0,AMB,ORNL,994.0,8.096666666666668
7,2004.0,AMB,ORNL,827.6666666666666,5.836666666666667
8,2005.0,AMB,ORNL,752.6666666666666,6.45
9,2006.0,AMB,ORNL,629.6666666666666,5.483333333333333
10,2007.0,AMB,ORNL,643.3333333333334,5.246666666666666
11,2008.0,AMB,ORNL,527.0,3.486666666666667
12,1998.0,ELE,ORNL,1034.5,7.525
13,1999.0,ELE,ORNL,998.5,7.505
14,2000.0,ELE,ORNL,1201.0,10.165
15,2001.0,ELE,ORNL,1287.0,10.129999999999999
16,2002.0,ELE,ORNL,1210.5,10.28
17,2003.0,ELE,ORNL,1122.0,7.71
18,2004.0,ELE,ORNL,986.5,7.404999999999999
19,2005.0,ELE,ORNL,878.0,8.09
20,2006.0,ELE,ORNL,699.5,6.03
21,2007.0,ELE,ORNL,698.5,5.02
22,2008.0,ELE,ORNL,587.0,3.77
118,1996.0,AMB,DUKE,1012.9006996129334,7.7700000000000005
218,1997.0,AMB,DUKE,1055.6674604742666,8.773333333333333
317,1998.0,AMB,DUKE,932.6698190842667,7.253333333333333
417,1999.0,AMB,DUKE,1127.1480006536667,8.996666666666666
59,2000.0,AMB,DUKE,1206.0032183615333,9.0
65,2001.0,AMB,DUKE,1021.6370064404333,8.316666666666666
75,2002.0,AMB,DUKE,661.6474993675,5.163333333333333
85,2003.0,AMB,DUKE,947.9261662865,8.766666666666667
95,2004.0,AMB,DUKE,1037.0950802521,9.756666666666666
105,2005.0,AMB,DUKE,902.2175763380667,8.323333333333334
119,2006.0,AMB,DUKE,1129.6193809399333,
125,2007.0,AMB,DUKE,940.5005197601,
135,1996.0,ELE,DUKE,1087.4189510223666,8.850000000000001
145,1997.0,ELE,DUKE,1318.1365403907,10.623333333333333
155,1998.0,ELE,DUKE,1193.4883480020667,9.153333333333334
165,1999.0,ELE,DUKE,1447.3623634686335,10.746666666666666
175,2000.0,ELE,DUKE,1540.8059523002,11.12
185,2001.0,ELE,DUKE,1298.7232642422332,9.623333333333333
195,2002.0,ELE,DUKE,929.5679282410667,6.796666666666667
205,2003.0,ELE,DUKE,1280.3712200696334,10.856666666666667
219,2004.0,ELE,DUKE,1386.6114728444666,12.93
225,2005.0,ELE,DUKE,1235.1240544695333,10.576666666666666
23,2006.0,ELE,DUKE,1485.1098147741334,
24,2007.0,ELE,DUKE,1131.8463248439334,
116,1997.0,AMB,RHIN,,
216,1998.0,AMB,RHIN,181.33333333333331,
316,1999.0,AMB,RHIN,411.6666666666667,
416,2000.0,AMB,RHIN,311.2,
58,2001.0,AMB,RHIN,353.0,
64,2002.0,AMB,RHIN,426.66666666666663,
74,2003.0,AMB,RHIN,490.0333333333333,
84,2004.0,AMB,RHIN,541.8666666666666,
94,2005.0,AMB,RHIN,557.5666666666667,
104,2006.0,AMB,RHIN,584.5,
117,2007.0,AMB,RHIN,819.5666666666667,
124,2008.0,AMB,RHIN,760.5999999999999,
134,2009.0,AMB,RHIN,,
144,1997.0,ELE,RHIN,,
154,1998.0,ELE,RHIN,193.66666666666666,
164,1999.0,ELE,RHIN,523.3333333333334,
174,2000.0,ELE,RHIN,419.8666666666667,
184,2001.0,ELE,RHIN,554.7333333333333,
194,2002.0,ELE,RHIN,638.5666666666667,
204,2003.0,ELE,RHIN,633.9666666666667,
217,2004.0,ELE,RHIN,671.5333333333333,
224,2005.0,ELE,RHIN,773.2,
234,2006.0,ELE,RHIN,871.7333333333335,
244,2007.0,ELE,RHIN,969.2666666666667,
25,2008.0,ELE,RHIN,914.4666666666667,
26,2009.0,ELE,RHIN,,
27,1997.0,AMB,RHIN,,
28,1998.0,AMB,RHIN,154.33333333333331,
29,1999.0,AMB,RHIN,320.66666666666663,
30,2000.0,AMB,RHIN,254.83333333333331,
31,2001.0,AMB,RHIN,295.70000000000005,
32,2002.0,AMB,RHIN,344.43333333333334,
33,2003.0,AMB,RHIN,444.53333333333336,
34,2004.0,AMB,RHIN,466.46666666666664,
35,2005.0,AMB,RHIN,522.9333333333333,
36,2006.0,AMB,RHIN,552.0333333333334,
37,2007.0,AMB,RHIN,717.7666666666668,
38,2008.0,AMB,RHIN,714.4666666666667,
39,2009.0,AMB,RHIN,,
40,1997.0,ELE,RHIN,,
41,1998.0,ELE,RHIN,171.0,
42,1999.0,ELE,RHIN,361.0,
43,2000.0,ELE,RHIN,342.76666666666665,
44,2001.0,ELE,RHIN,458.23333333333335,
45,2002.0,ELE,RHIN,482.00000000000006,
46,2003.0,ELE,RHIN,572.5666666666666,
47,2004.0,ELE,RHIN,695.2666666666667,
48,2005.0,ELE,RHIN,778.8666666666667,
49,2006.0,ELE,RHIN,754.5666666666667,
50,2007.0,ELE,RHIN,1005.3,
51,2008.0,ELE,RHIN,931.6333333333333,
52,2009.0,ELE,RHIN,,
53,1997.0,AMB,RHIN,,
54,1998.0,AMB,RHIN,129.66666666666666,
NA,1999.0,AMB,RHIN,368.0,
NA.1,2000.0,AMB,RHIN,214.76666666666668,
NA.2,2001.0,AMB,RHIN,314.0,
NA.3,2002.0,AMB,RHIN,339.4666666666667,
NA.4,2003.0,AMB,RHIN,360.7666666666667,
NA.5,2004.0,AMB,RHIN,449.4333333333333,
NA.6,2005.0,AMB,RHIN,443.40000000000003,
NA.7,2006.0,AMB,RHIN,562.5666666666666,
NA.8,2007.0,AMB,RHIN,734.3333333333333,
NA.9,2008.0,AMB,RHIN,609.5,
NA.10,2009.0,AMB,RHIN,,
NA.11,1997.0,ELE,RHIN,,
NA.12,1998.0,ELE,RHIN,158.33333333333334,
NA.13,1999.0,ELE,RHIN,513.0,
NA.14,2000.0,ELE,RHIN,347.20000000000005,
NA.15,2001.0,ELE,RHIN,622.7666666666667,
NA.16,2002.0,ELE,RHIN,555.3666666666667,
NA.17,2003.0,ELE,RHIN,585.1999999999999,
NA.18,2004.0,ELE,RHIN,668.0,
NA.19,2005.0,ELE,RHIN,683.0,
NA.20,2006.0,ELE,RHIN,848.6666666666666,
NA.21,2007.0,ELE,RHIN,828.6666666666667,
NA.22,2008.0,ELE,RHIN,782.7,
NA.23,2009.0,ELE,RHIN,,
NA.24,1997.0,AMB,RHIN,,
NA.25,1998.0,AMB,RHIN,110.33333333333334,
NA.26,1999.0,AMB,RHIN,304.6666666666667,
NA.27,2000.0,AMB,RHIN,210.46666666666667,
NA.28,2001.0,AMB,RHIN,296.96666666666664,
NA.29,2002.0,AMB,RHIN,283.6333333333333,
NA.30,2003.0,AMB,RHIN,331.8,
NA.31,2004.0,AMB,RHIN,394.8,
NA.32,2005.0,AMB,RHIN,420.7,
NA.33,2006.0,AMB,RHIN,489.90000000000003,
NA.34,2007.0,AMB,RHIN,575.0666666666666,
NA.35,2008.0,AMB,RHIN,601.5666666666667,
NA.36,2009.0,AMB,RHIN,,
NA.37,1997.0,ELE,RHIN,,
NA.38,1998.0,ELE,RHIN,121.0,
NA.39,1999.0,ELE,RHIN,367.33333333333337,
NA.40,2000.0,ELE,RHIN,256.23333333333335,
NA.41,2001.0,ELE,RHIN,448.23333333333335,
112,2002.0,ELE,RHIN,412.7333333333333,
212,2003.0,ELE,RHIN,496.2333333333334,
312,2004.0,ELE,RHIN,584.8000000000001,
412,2005.0,ELE,RHIN,727.0666666666667,
56,2006.0,ELE,RHIN,828.1,
62,2007.0,ELE,RHIN,868.4333333333334,
72,2008.0,ELE,RHIN,849.4666666666667,
82,2009.0,ELE,RHIN,,
92,1997.0,AMB,RHIN,,
102,1998.0,AMB,RHIN,55.333333333333336,
113,1999.0,AMB,RHIN,199.66666666666666,
122,2000.0,AMB,RHIN,148.46666666666667,
132,2001.0,AMB,RHIN,182.03333333333333,
142,2002.0,AMB,RHIN,262.1333333333333,
152,2003.0,AMB,RHIN,498.6666666666667,
162,2004.0,AMB,RHIN,434.8666666666666,
172,2005.0,AMB,RHIN,475.03333333333336,
182,2006.0,AMB,RHIN,444.16666666666674,
192,2007.0,AMB,RHIN,640.3666666666667,
202,2008.0,AMB,RHIN,630.5333333333333,
213,2009.0,AMB,RHIN,,
222,1997.0,ELE,RHIN,,
232,1998.0,ELE,RHIN,90.0,
242,1999.0,ELE,RHIN,379.0,
252,2000.0,ELE,RHIN,151.5,
262,2001.0,ELE,RHIN,317.6666666666667,
272,2002.0,ELE,RHIN,453.4,
282,2003.0,ELE,RHIN,793.7666666666667,
292,2004.0,ELE,RHIN,649.5,
302,2005.0,ELE,RHIN,779.0,
313,2006.0,ELE,RHIN,660.9666666666667,
322,2007.0,ELE,RHIN,821.2333333333333,
332,2008.0,ELE,RHIN,876.6,
342,2009.0,ELE,RHIN,,
352,1997.0,AMB,RHIN,,
362,1998.0,AMB,RHIN,48.0,
372,1999.0,AMB,RHIN,143.33333333333331,
382,2000.0,AMB,RHIN,129.0,
392,2001.0,AMB,RHIN,150.70000000000002,
402,2002.0,AMB,RHIN,273.8666666666667,
413,2003.0,AMB,RHIN,467.86666666666673,
422,2004.0,AMB,RHIN,381.7,
432,2005.0,AMB,RHIN,389.63333333333327,
442,2006.0,AMB,RHIN,383.3666666666666,
452,2007.0,AMB,RHIN,534.6999999999999,
462,2008.0,AMB,RHIN,606.8,
472,2009.0,AMB,RHIN,,
482,1997.0,ELE,RHIN,,
492,1998.0,ELE,RHIN,67.33333333333333,
502,1999.0,ELE,RHIN,258.3333333333333,
512,2000.0,ELE,RHIN,202.33333333333334,
522,2001.0,ELE,RHIN,324.53333333333336,
532,2002.0,ELE,RHIN,311.93333333333334,
542,2003.0,ELE,RHIN,574.8,
NA1,2004.0,ELE,RHIN,536.8666666666667,
NA.110,2005.0,ELE,RHIN,632.9,
NA.210,2006.0,ELE,RHIN,614.5666666666667,
NA.310,2007.0,ELE,RHIN,733.3,
NA.410,2008.0,ELE,RHIN,769.6,
NA.510,2009.0,ELE,RHIN,,
114,1996.0,AMB,KSCO,420.8875,
214,1997.0,AMB,KSCO,800.225,
314,1998.0,AMB,KSCO,1166.7124999999999,
414,1999.0,AMB,KSCO,581.825,
57,2000.0,AMB,KSCO,490.93750000000006,
63,2001.0,AMB,KSCO,407.7625,
73,2002.0,AMB,KSCO,380.8875,
83,2003.0,AMB,KSCO,470.6375,
93,2004.0,AMB,KSCO,686.15,
103,2005.0,AMB,KSCO,607.1,
115,2006.0,AMB,KSCO,-28.13749999999999,
123,2007.0,AMB,KSCO,345.0625,
133,1996.0,ELE,KSCO,486.0375,
143,1997.0,ELE,KSCO,1462.2375,
153,1998.0,ELE,KSCO,1399.1375,
163,1999.0,ELE,KSCO,576.5875,
173,2000.0,ELE,KSCO,358.975,
183,2001.0,ELE,KSCO,306.15,
193,2002.0,ELE,KSCO,597.8,
203,2003.0,ELE,KSCO,412.22499999999997,
215,2004.0,ELE,KSCO,858.5375,
223,2005.0,ELE,KSCO,1416.975,
233,2006.0,ELE,KSCO,-326.57500000000005,
243,2007.0,ELE,KSCO,314.325,
253,1996.0,AMB,KSCO,,
263,1997.0,AMB,KSCO,,
273,1998.0,AMB,KSCO,,
283,1999.0,AMB,KSCO,,
293,2000.0,AMB,KSCO,,
303,2001.0,AMB,KSCO,,
315,2002.0,AMB,KSCO,,
323,2003.0,AMB,KSCO,,
333,2004.0,AMB,KSCO,,
343,2005.0,AMB,KSCO,,
353,2006.0,AMB,KSCO,,
363,2007.0,AMB,KSCO,,
373,1996.0,ELE,KSCO,,
383,1997.0,ELE,KSCO,,
393,1998.0,ELE,KSCO,,
403,1999.0,ELE,KSCO,,
415,2000.0,ELE,KSCO,,
423,2001.0,ELE,KSCO,,
433,2002.0,ELE,KSCO,,
443,2003.0,ELE,KSCO,,
453,2004.0,ELE,KSCO,,
463,2005.0,ELE,KSCO,,
473,2006.0,ELE,KSCO,,
