,0
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_1,830.3197631835938
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_2,1372.9759521484375
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_3,1341.2547607421875
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_4,1326.5384521484375
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_5,1310.66552734375
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_6,1293.994384765625
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_7,1277.9859619140625
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_8,1183.9659423828125
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_9,1168.323486328125
FACE_r241030_Sz_enStoreOvrflw_RD_aCO2_10,1208.830078125
Year,2001.5
