,0
r240913_NH4_1.0e-10_P_1.0e-11,-0.0043262820690870285
r240913_NH4_2.0e-10_P_2.0e-11,0.9326773285865784
r240913_NH4_3.0e-10_P_3.0e-11,11.840229988098145
r240913_NH4_4.0e-10_P_4.0e-11,54.02337646484375
r240913_NH4_5.0e-10_P_5.0e-11,8.339337348937988
r240913_NH4_6.0e-10_P_6.0e-11,356.7219543457031
r240913_NH4_7.0e-10_P_7.0e-11,137.32322692871094
r240913_NH4_8.0e-10_P_8.0e-11,512.6804809570312
r240913_NH4_9.0e-10_P_9.0e-11,528.4945678710938
r240913_NH4_1.0e-09_P_1.0e-10,646.5435791015625
r240913_NH4_2.0e-09_P_2.0e-10,588.648681640625
r240913_NH4_3.0e-09_P_3.0e-10,1004.7843627929688
r240913_NH4_4.0e-09_P_4.0e-10,1134.7823486328125
r240913_NH4_5.0e-09_P_5.0e-10,1211.29248046875
r240913_NH4_6.0e-09_P_6.0e-10,1242.5877685546875
r240913_NH4_7.0e-09_P_7.0e-10,1258.6802978515625
r240913_NH4_8.0e-09_P_8.0e-10,1269.9765625
r240913_NH4_9.0e-09_P_9.0e-10,1275.7196044921875
r240913_NH4_1.0e-08_P_1.0e-09,1281.7530517578125
r240913_NH4_2.0e-08_P_2.0e-09,1324.04833984375
r240913_NH4_3.0e-08_P_3.0e-09,1368.8460693359375
r240913_NH4_4.0e-08_P_4.0e-09,1410.0372314453125
r240913_NH4_5.0e-08_P_5.0e-09,1428.5087890625
r240913_NH4_6.0e-08_P_6.0e-09,1437.44189453125
r240913_NH4_7.0e-08_P_7.0e-09,1436.21630859375
r240913_NH4_8.0e-08_P_8.0e-09,1432.9442138671875
r240913_NH4_9.0e-08_P_9.0e-09,1430.7288818359375
r240913_NH4_1.0e-07_P_1.0e-08,1428.7490234375
r240913_NH4_2.0e-07_P_2.0e-08,1421.34716796875
r240913_NH4_3.0e-07_P_3.0e-08,1420.3687744140625
r240913_NH4_4.0e-07_P_4.0e-08,159.7671661376953
r240913_NH4_5.0e-07_P_5.0e-08,416.195556640625
r240913_NH4_6.0e-07_P_6.0e-08,379.4552307128906
r240913_NH4_7.0e-07_P_7.0e-08,337.06890869140625
r240913_NH4_8.0e-07_P_8.0e-08,248.9228973388672
r240913_NH4_9.0e-07_P_9.0e-08,201.66871643066406
r240913_NH4_1.0e-06_P_1.0e-07,178.193115234375
r240914a_NH4_1.0e-10_P_1.0e-11,-0.0045084706507623196
r240914a_NH4_2.0e-10_P_2.0e-11,1.0884062051773071
r240914a_NH4_3.0e-10_P_3.0e-11,5.600339889526367
r240914a_NH4_4.0e-10_P_4.0e-11,23.461891174316406
r240914a_NH4_5.0e-10_P_5.0e-11,323.99737548828125
r240914a_NH4_6.0e-10_P_6.0e-11,1179.295654296875
r240914a_NH4_7.0e-10_P_7.0e-11,359.995849609375
r240914a_NH4_8.0e-10_P_8.0e-11,455.7777099609375
r240914a_NH4_9.0e-10_P_9.0e-11,577.7800903320312
r240914a_NH4_1.0e-09_P_1.0e-10,641.6824951171875
r240914a_NH4_2.0e-09_P_2.0e-10,582.8262329101562
r240914a_NH4_3.0e-09_P_3.0e-10,928.234375
r240914a_NH4_4.0e-09_P_4.0e-10,1053.552001953125
r240914a_NH4_5.0e-09_P_5.0e-10,1122.6722412109375
r240914a_NH4_6.0e-09_P_6.0e-10,1160.7857666015625
r240914a_NH4_8.0e-09_P_8.0e-10,1199.4820556640625
r240914a_NH4_9.0e-09_P_9.0e-10,1204.026611328125
r240914a_NH4_1.0e-08_P_1.0e-09,1211.9766845703125
r240914a_NH4_2.0e-08_P_2.0e-09,1250.34326171875
r240914a_NH4_3.0e-08_P_3.0e-09,1283.682861328125
r240914a_NH4_4.0e-08_P_4.0e-09,1321.7130126953125
r240914a_NH4_6.0e-08_P_6.0e-09,1383.3912353515625
r240914a_NH4_7.0e-08_P_7.0e-09,1390.8253173828125
r240914a_NH4_8.0e-08_P_8.0e-09,1396.7730712890625
r240914a_NH4_9.0e-08_P_9.0e-09,1398.9642333984375
r240914a_NH4_1.0e-07_P_1.0e-08,1395.6846923828125
r240914a_NH4_3.0e-07_P_3.0e-08,1381.4654541015625
r240914a_NH4_4.0e-07_P_4.0e-08,402.1983947753906
r240914a_NH4_5.0e-07_P_5.0e-08,439.5744323730469
r240914a_NH4_6.0e-07_P_6.0e-08,322.24542236328125
r240914a_NH4_7.0e-07_P_7.0e-08,353.0395812988281
r240914a_NH4_8.0e-07_P_8.0e-08,251.4405517578125
r240914a_NH4_9.0e-07_P_9.0e-08,206.9086151123047
