,0
FACE_r241011_enStoreOvrflw_RD_response_1,17.251508712768555
FACE_r241011_enStoreOvrflw_RD_response_2,190.12461853027344
FACE_r241011_enStoreOvrflw_RD_response_3,129.58058166503906
FACE_r241011_enStoreOvrflw_RD_response_4,102.09769439697266
FACE_r241011_enStoreOvrflw_RD_response_5,224.9512176513672
FACE_r241011_enStoreOvrflw_RD_response_6,365.8356018066406
FACE_r241011_enStoreOvrflw_RD_response_7,365.86279296875
FACE_r241011_enStoreOvrflw_RD_response_8,365.869140625
FACE_r241011_enStoreOvrflw_RD_response_9,365.8675537109375
FACE_r241011_enStoreOvrflw_RD_response_10,365.851806640625
Year,2001.5
