,Mean,Lower Bound,Upper Bound,SE,,,
1998,6.856666667,6.262631501,7.450701832,0.59,,"6.857,","0.594,"
1999,7.536666667,5.997702368,9.075630965,1.54,,"7.537,","1.539,"
2000,7.916666667,6.434311184,9.39902215,1.48,,"7.917,","1.482,"
2001,7.306666667,6.130510026,8.482823308,1.18,,"7.307,","1.176,"
2002,8.116666667,7.885702504,8.347630829,0.23,,"8.117,","0.231,"
2003,8.096666667,7.951714567,8.241618766,0.14,,"8.097,","0.145,"
2004,5.836666667,5.534765285,6.138568049,0.30,,"5.837,","0.302,"
2005,6.45,6.327797981,6.572202019,0.12,,"6.45,","0.122,"
2006,5.483333333,5.274022294,5.692644372,0.21,,"5.483,","0.209,"
2007,5.246666667,4.615098952,5.878234381,0.63,,"5.247,","0.632,"
2008,3.486666667,3.204040097,3.769293236,0.28,,3.487,"0.283,"
