,Mean,Lower Bound,Upper Bound,SE,,,mean,std error
1996,1.080,-0.266080731,2.426080731,1.346,,",","1.08,","1.346,"
1997,1.850,0.727819583,2.972180417,1.122,,",","1.85,","1.122,"
1998,1.900,0.993235299,2.806764701,0.907,,",","1.9,","0.907,"
1999,1.750,1.431793219,2.068206781,0.318,,",","1.75,","0.318,"
2000,2.120,0.895813195,3.344186805,1.224,,",","2.12,","1.224,"
2001,1.307,0.218186585,2.395146749,1.088,,",","1.307,","1.088,"
2002,1.633,0.334876985,2.931789682,1.298,,",","1.633,","1.298,"
2003,2.090,1.459903006,2.720096994,0.630,,",","2.09,","0.63,"
2004,3.173,1.856527434,4.490139233,1.317,,",","3.173,","1.317,"
2005,2.253,0.679149241,3.827517425,1.574,,",","2.253,","1.574,"
2006,-9999,,,-9999,,",","-9999,","-9999,"
2007,-9999,,,-9999,, ,-9999 ,-9999 
