rownames,YEAR,co2,site,NPP,NUP
118,1996.0,AMB,DUKE,67.45164946181153,0.3935733730830887
218,1997.0,AMB,DUKE,80.42778834360313,0.5490699206638238
317,1998.0,AMB,DUKE,71.76473908333188,0.49485126834007154
417,1999.0,AMB,DUKE,15.709541808166273,0.18976593769987055
59,2000.0,AMB,DUKE,26.084099623209436,0.4903060268852507
65,2001.0,AMB,DUKE,66.81685992201734,0.6721689602407354
75,2002.0,AMB,DUKE,59.20860584024088,0.47336854329135336
85,2003.0,AMB,DUKE,28.586252545862752,0.35708697975578885
95,2004.0,AMB,DUKE,63.15291502450979,0.6961880333485899
105,2005.0,AMB,DUKE,79.7890724250426,0.8348319857578793
119,2006.0,AMB,DUKE,72.94812832648012,
125,2007.0,AMB,DUKE,71.98398705080304,
