rownames,YEAR,co2,site,NPP,NUP
135,1996.0,ELE,DUKE,121.95904194132403,1.2872580678843437
145,1997.0,ELE,DUKE,120.86194855978222,0.9786782469796248
155,1998.0,ELE,DUKE,75.3860637675963,0.7598318527440422
165,1999.0,ELE,DUKE,36.76673316939476,0.25542992080890714
175,2000.0,ELE,DUKE,62.76968308621337,1.12171000411574
185,2001.0,ELE,DUKE,86.41569204214629,0.8561412136895278
195,2002.0,ELE,DUKE,152.61530160445784,1.2090951621403132
205,2003.0,ELE,DUKE,87.88449290014151,0.5191445955715147
219,2004.0,ELE,DUKE,126.53990531968056,1.117720895393837
225,2005.0,ELE,DUKE,184.68123866555618,1.3345827479445067
23,2006.0,ELE,DUKE,180.7368328775354,
24,2007.0,ELE,DUKE,182.8625081278116,
