rownames,YEAR,co2,site,NPP,NUP
1,1998.0,AMB,ORNL,24.968869506736674,0.594035165438695
2,1999.0,AMB,ORNL,67.39518611229671,1.5389642981924925
3,2000.0,AMB,ORNL,44.16006239931179,1.4823554829317354
4,2001.0,AMB,ORNL,80.1332224070225,1.1761566411173487
5,2002.0,AMB,ORNL,35.13940491496374,0.23096416268426673
6,2003.0,AMB,ORNL,54.00308633155455,0.1449520993677257
7,2004.0,AMB,ORNL,26.859717877231034,0.3019013819849861
8,2005.0,AMB,ORNL,67.8388613636101,0.12220201853215584
9,2006.0,AMB,ORNL,27.430720815254645,0.20931103915252813
10,2007.0,AMB,ORNL,16.75642497007574,0.6315677143250576
11,2008.0,AMB,ORNL,39.344631145812,0.28262656948308623
