rownames,YEAR,co2,site,NPP,NUP
118,1996.0,AMB,DUKE,1012.9006996129334,7.7700000000000005
218,1997.0,AMB,DUKE,1055.6674604742666,8.773333333333333
317,1998.0,AMB,DUKE,932.6698190842667,7.253333333333333
417,1999.0,AMB,DUKE,1127.1480006536667,8.996666666666666
59,2000.0,AMB,DUKE,1206.0032183615333,9.0
65,2001.0,AMB,DUKE,1021.6370064404333,8.316666666666666
75,2002.0,AMB,DUKE,661.6474993675,5.163333333333333
85,2003.0,AMB,DUKE,947.9261662865,8.766666666666667
95,2004.0,AMB,DUKE,1037.0950802521,9.756666666666666
105,2005.0,AMB,DUKE,902.2175763380667,8.323333333333334
119,2006.0,AMB,DUKE,1129.6193809399333,
125,2007.0,AMB,DUKE,940.5005197601,
