rownames,YEAR,co2,site,NPP,NUP
135,1996.0,ELE,DUKE,1087.4189510223666,8.850000000000001
145,1997.0,ELE,DUKE,1318.1365403907,10.623333333333333
155,1998.0,ELE,DUKE,1193.4883480020667,9.153333333333334
165,1999.0,ELE,DUKE,1447.3623634686335,10.746666666666666
175,2000.0,ELE,DUKE,1540.8059523002,11.12
185,2001.0,ELE,DUKE,1298.7232642422332,9.623333333333333
195,2002.0,ELE,DUKE,929.5679282410667,6.796666666666667
205,2003.0,ELE,DUKE,1280.3712200696334,10.856666666666667
219,2004.0,ELE,DUKE,1386.6114728444666,12.93
225,2005.0,ELE,DUKE,1235.1240544695333,10.576666666666666
23,2006.0,ELE,DUKE,1485.1098147741334,
24,2007.0,ELE,DUKE,1131.8463248439334,
