rownames,YEAR,co2,site,NPP,NUP
1,1998.0,AMB,ORNL,829.3333333333334,6.8566666666666665
2,1999.0,AMB,ORNL,870.3333333333334,7.536666666666666
3,2000.0,AMB,ORNL,999.6666666666666,7.916666666666667
4,2001.0,AMB,ORNL,1031.0,7.306666666666667
5,2002.0,AMB,ORNL,913.6666666666666,8.116666666666667
6,2003.0,AMB,ORNL,994.0,8.096666666666668
7,2004.0,AMB,ORNL,827.6666666666666,5.836666666666667
8,2005.0,AMB,ORNL,752.6666666666666,6.45
9,2006.0,AMB,ORNL,629.6666666666666,5.483333333333333
10,2007.0,AMB,ORNL,643.3333333333334,5.246666666666666
11,2008.0,AMB,ORNL,527.0,3.486666666666667
